Number,Series,Title,Artist,Date,Bytes,Colours,Width,Height,Format,XCF,Source
0000,00,Deer Butt,Zoe Trentacles,2017-02-01,6676,6,350,543,PNG,NA,https://zoetrentacles.tumblr.com/image/153881575491
0001,00,Jealousy,Randall Munroe,2017-02-02,7941,1,538,584,PNG,NA,https://www.xkcd.com/420
0002,00,Sue Sakomotem,Unknown,2017-02-03,500,5,64,64,PNG,NA,https://e926.net/post/show/856834
0003,00,View from the Artist's Window,Martinus Rørbye,2017-02-04,6981,4,214,272,PNG,NA,https://commons.wikimedia.org/wiki/File:Martinus_R%C3%B8rbye_-_View_from_the_Artist%27s_Window_-_Google_Art_Project.jpg
0004,00,Tiny GIF,Unknown,2017-02-05,26,0,1,1,GIF,NA,https://probablyprogramming.com/2009/03/15/the-tiniest-gif-ever
0005,00,Dubfire,Unknown,2017-02-06,9488,All,359,428,JPEG,NA,https://commons.wikimedia.org/wiki/File:Hands_Dubfire_Photo.jpg
0006,00,Businesstem,Plague of Gripes,2017-02-07,4359,12,256,256,PNG,NA,http://plagueofgripes.tumblr.com/post/131450228176/random-underpoop
0007,00,Valleyburn,Riotmode,2017-02-08,1826,12,128,128,PNG,NA,https://e926.net/post/show/1018684
0008,00,Magic Stylus,Tyson Tan,2017-02-09,9893,16,250,125,PNG,NA,https://tysontan.deviantart.com/art/The-Magic-Stylus-570566846
0009,00,He Does It!,Katribou,2017-02-10,964,4,100,100,PNG,NA,https://katribou.tumblr.com/post/128520296343/splat-tim-but-with-another-gun
0010,00,Originality,Nina Paley,2017-02-11,9589,3,900,280,PNG,NA,http://mimiandeunice.com/2010/12/03/originality
0011,00,About NSFW,NA,2017-02-12,NA,NA,NA,NA,NA,NA,NA
0012,00,The Heist,Trout,2017-02-13,4379,11,293,231,PNG,NA,https://www.furaffinity.net/view/20359574
0013,00,Brionne,abc002310,2017-02-15,8768,10,416,421,PNG,NA,https://abc002310.deviantart.com/art/Brionne-642639573
0014,00,Mountaintype,Unknown,2017-02-16,5177,8,340,180,PNG,NA,https://protonmail.com
0015,00,Smooches,InuHosi-to-DarkPen,2017-02-17,9733,7,267,326,PNG,NA,https://inuhoshi-to-darkpen.deviantart.com/art/Smooches-657916252
